staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,orientation,Absolute Orientation Values,,,mean average threshold,
0,2,10,17.17118625,17.66100167,17.66100167,17.66834229,17.95403979,10,1,1.024036167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,1,10,10,,,reversal happening at trial number,orientation value
1,2,8,18.77883937,19.21400104,19.21400104,19.27083933,19.50418679,-8,1,0.508183417,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,2.5,-8,8,,,13,1
2,2,6,19.73480175,20.22140288,20.22140288,20.23072429,20.5147725,-6,1,0.4641075,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,4.5,-6,6,,,,2.5
3,2,4,20.70838196,21.18912667,21.18912667,21.20454067,21.48114183,-4,1,0.510475792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,4.5,-4,4,,,,4.5
4,2,2,21.71575821,22.19749629,22.19749629,22.21435304,22.48726517,-2,1,0.564398083,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,4.5,-2,2,,,,4.5
5,2,1,22.77619904,23.26359879,23.26359879,23.27072312,23.55433558,1,1,0.636628083,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,5,1,1,,,,4.5
6,2,1,23.9170605,24.40471796,24.40471796,24.41449696,24.69783175,-1,1,0.584950584,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,1,-1,1,,,,5
7,2,1,25.00984062,25.49747029,25.49747029,25.50376942,25.78765142,-1,1,0.479666334,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,1,-1,1,,,,1
8,2,1,25.99188312,26.47201896,26.47201896,26.48678412,26.76488904,-1,1,0.600256333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,1,-1,1,,,,1
9,2,1,27.08504888,27.57152583,27.57152583,27.58114879,27.86477175,1,1,0.443228875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,1,1,1,,,,1
10,2,1,28.02627583,28.51450183,28.51450183,28.52092937,28.80475846,-1,1,0.519446333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,1.5,-1,1,,,,1
11,2,1,29.04915696,29.53103108,29.53103108,29.54788587,,1,1,0.263506583,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,1,1,1,,,,1.5
12,2,1,29.80825346,30.29776171,30.29776171,30.3042525,30.58843142,-1,1,0.357380708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,average,2.375,-1,1,,,,1
13,1.5,1,30.67575858,31.16431325,31.16431325,31.17064838,,-1,0,0.177659458,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,difference threshold,2.375
14,1.5,2.5,31.35965175,31.84784792,31.84784792,31.85422546,,-2.5,1,0.269187541,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-2.5,2.5,,,,
15,1.5,2.5,32.13172746,32.61440458,32.61440458,32.62075958,32.90497142,2.5,0,0.313657041,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,2.5,2.5,,,,
16,1.5,4,32.943273,33.43105504,33.43105504,33.43812733,,4,0,0.259802125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4,4,,,,
17,1.5,5.5,33.70938833,34.19776933,34.19776933,34.20415212,34.48777817,-5.5,1,0.453999875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5.5,5.5,,,,
18,1.5,5.5,34.66806846,35.15567337,35.15567337,35.16446462,,5.5,1,0.243246209,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,5.5,5.5,,,,
19,1,5.5,35.41029662,35.89791208,35.89791208,35.90450283,36.18769454,-5.5,1,0.369091667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5.5,5.5,,,,
20,1,4.5,36.28368596,36.76454154,36.76454154,36.78152854,,4.5,1,0.247674,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4.5,4.5,,,,
21,0.5,4.5,37.02631646,37.51453067,37.51453067,37.520873,37.80516579,4.5,0,0.337158167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4.5,4.5,,,,
22,0.5,5,37.86619125,38.34797287,38.34797287,38.36459867,38.63808133,-5,1,0.367537208,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5,5,,,,
23,0.5,5,38.72696254,39.21461117,39.21461117,39.2210365,,5,1,0.25921625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,5,5,,,,
24,0.5,5,39.49329967,39.98129417,39.98129417,39.98832783,40.27176142,-5,1,0.384179917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5,5,,,,
25,0.5,4.5,40.37681412,40.86470204,40.86470204,40.87110887,,4.5,1,0.256670667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4.5,4.5,,,,
26,0.5,4.5,41.13394196,41.61476854,41.61476854,41.63171633,,4.5,0,0.233642917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4.5,4.5,,,,
27,0.5,5,41.85967513,42.34807533,42.34807533,42.35448579,42.63832479,5,1,0.8007735,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,5,5,,,,
28,0.5,5,43.16022125,43.64806808,43.64806808,43.65454146,43.93831283,-5,1,0.317472792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5,5,,,,
29,0.5,5,43.97831004,44.46427813,44.46427813,44.47131625,,5,1,0.208960084,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,5,5,,,,
30,0.5,4.5,44.6933085,45.18148283,45.18148283,45.18789625,,-4.5,1,0.213127625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-4.5,4.5,,,,
31,0.5,4.5,45.41015104,45.89820562,45.89820562,45.90476754,,4.5,1,0.251152042,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4.5,4.5,,,,
32,0.5,4.5,46.16617242,46.65549021,46.65549021,46.65549021,46.94885725,-4.5,0,0.339625542,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-4.5,4.5,,,,
33,0.5,5,47.01015683,47.49836575,47.49836575,47.50473804,47.78861325,5,1,0.301751667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,5,5,,,,
34,0.5,5,47.81627204,48.29822875,48.29822875,48.31448846,,-5,1,0.209467333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5,5,,,,
35,0.5,5,48.52585067,49.01495904,49.01495904,49.021264,49.30490137,-5,0,0.305589292,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5,5,,,,
36,0.5,5.5,49.34858475,49.8149545,49.8149545,49.83758708,50.105181,-5.5,1,7.558756583,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5.5,5.5,,,,
37,0.5,5.5,57.39447671,57.88184554,57.88184554,57.88919117,58.17188225,-5.5,1,0.386086667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5.5,5.5,,,,
38,0.5,5.5,58.28418579,58.76579175,58.76579175,58.78188537,59.0564435,-5.5,1,0.554984833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5.5,5.5,,,,
39,0.5,5,59.34882754,59.81521883,59.81521883,59.83779521,60.10489671,-5,1,2.479070917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5,5,,,,
40,0.5,5,62.30965442,62.79875617,62.79875617,62.80517008,63.08896492,5,1,1.190453792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,5,5,,,,
41,0.5,5,64.01555638,64.48970396,64.48970396,64.50460275,64.78269754,-5,1,0.8610975,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-5,5,,,,
42,0.5,4.5,65.36752963,65.84882425,65.84882425,65.86591208,66.13791517,4.5,1,0.779228708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4.5,4.5,,,,
43,0.5,4.5,66.64522167,67.13215392,67.13215392,67.13856008,67.42249233,4.5,1,0.713032,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4.5,4.5,,,,
44,0.5,4.5,67.86086996,68.34113467,68.34113467,68.35618925,68.638368,-4.5,1,0.588452292,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-4.5,4.5,,,,
45,0.5,4,68.9443745,69.43229917,69.43229917,69.43874167,69.72244029,-4,1,0.559062208,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-4,4,,,,
46,0.5,4,70.01048762,70.49854588,70.49854588,70.50497075,70.78929583,4,1,0.525285583,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,4,4,,,,
47,0.5,4,71.04444171,71.52382437,71.52382437,71.53889404,71.82286775,-4,1,0.581161709,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-4,4,,,,
48,0.5,3.5,72.1173895,72.59897496,72.59897496,72.6159575,72.88963513,3.5,1,0.587689042,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,3.5,3.5,,,,
49,0.5,3.5,73.21589217,73.68238342,73.68238342,73.70487162,73.97345896,3.5,1,0.6137535,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,3.5,3.5,,,,
50,0.5,3.5,74.31148712,74.79907262,74.79907262,74.80559558,75.08880104,3.5,1,0.629692208,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,3.5,3.5,,,,
51,0.5,3,75.44533729,75.93243871,75.93243871,75.93886396,76.223548,-3,1,0.659456041,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-3,3,,,,
52,0.5,3,76.61171596,77.09912083,77.09912083,77.10554429,77.38981567,3,1,0.608972875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,3,3,,,,
53,0.5,3,77.72736462,78.21583579,78.21583579,78.22248438,78.50639071,3,1,0.624184333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,3,3,,,,
54,0.5,2.5,78.85318375,79.34010483,79.34010483,79.34921329,79.63983454,2.5,1,0.67658075,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,2.5,2.5,,,,
55,0.5,2.5,80.02937962,80.51602479,80.51602479,80.52311192,80.80582629,-2.5,1,0.585035833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-2.5,2.5,,,,
56,0.5,2.5,81.11783092,81.60710358,81.60710358,81.61594683,81.89998308,-2.5,1,0.636389208,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-2.5,2.5,,,,
57,0.5,2,82.26063654,82.74932421,82.74932421,82.75635946,83.03903537,-2,1,0.69769275,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-2,2,,,,
58,0.5,2,83.46233942,83.94892042,83.94892042,83.95534229,84.23911587,-2,1,0.9508405,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-2,2,,,,
59,0.5,2,84.91184763,85.399341,85.399341,85.40578042,85.68964375,2,1,0.5896915,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,2,2,,,,
60,0.5,1.5,86.00117004,86.482866,86.482866,86.49938121,86.77260604,-1.5,1,0.624743667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
61,0.5,1.5,87.1272205,87.60704046,87.60704046,87.62269308,87.900143,1.5,1,0.710779917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
62,0.5,1.5,88.3349845,88.82448204,88.82448204,88.83278762,89.12306675,-1.5,1,0.46413875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
63,0.5,1,89.30194292,89.78289254,89.78289254,89.79943896,90.07282358,-1,1,0.984516625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
64,0.5,1,90.79986408,91.26665717,91.26665717,91.28957108,91.55693042,1,1,0.683694042,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
65,0.5,1,91.96222842,92.44959779,92.44959779,92.45588096,92.73948358,-1,1,0.572806334,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
66,0.5,1,93.03496217,93.51668188,93.51668188,93.53320042,93.80643954,1,1,0.612191917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
67,0.5,1,94.14522879,94.63305429,94.63305429,94.63943742,94.92355471,-1,1,0.451109667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
68,0.5,1,95.10171912,95.58312663,95.58312663,95.59999275,95.8733265,-1,1,0.675802875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
69,0.5,1,96.27881854,96.76638975,96.76638975,96.77350692,97.05563329,1,1,0.54152325,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
70,0.5,1,97.32890825,97.81598358,97.81598358,97.822421,98.10657271,-1,1,0.452421375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
71,0.5,1,98.28491179,98.76650479,98.76650479,98.78342625,99.05670071,1,1,0.822917167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
72,0.5,1,99.60215313,100.0909107,100.0909107,100.0992766,100.3841413,-1,1,0.63151125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
73,0.5,1,100.735564,101.2165854,101.2165854,101.2331539,101.5067691,-1,1,0.853327042,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
74,0.5,1,102.1002068,102.5747164,102.5747164,102.5897484,102.873659,-1,1,0.809577916,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
75,0.5,1,103.3966724,103.8834053,103.8834053,103.8896818,104.1734153,-1,1,0.875213667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
76,0.5,1,104.7792628,105.2661399,105.2661399,105.2729224,105.5568636,-1,1,1.208000291,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
77,0.5,1,106.487157,106.9749589,106.9749589,106.9833751,107.2736021,1,1,0.68369425,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
78,0.5,1,107.6790283,108.1662212,108.1662212,108.1727517,108.4564675,-1,0,0.767900583,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
79,0.5,1.5,108.9457392,109.4334655,109.4334655,109.4398879,109.7235512,1.5,1,0.830024791,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
80,0.5,1.5,110.279523,110.7668546,110.7668546,110.7732378,111.0567363,1.5,1,0.644649208,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
81,0.5,1.5,111.4290323,111.9168691,111.9168691,111.9233078,112.205687,1.5,1,0.671318333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
82,0.5,1,112.6169001,113.0922189,113.0922189,113.1069508,113.390471,1,1,1.377206292,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
83,0.5,1,114.4856625,114.9669511,114.9669511,114.9836193,115.2576689,-1,1,1.076552459,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
84,0.5,1,116.0621997,116.5498714,116.5498714,116.5562787,116.8406047,1,0,0.819544917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
85,0.5,1.5,117.4005332,117.8749485,117.8749485,117.8895957,118.1677286,1.5,1,0.800090209,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
86,0.5,1.5,118.6950811,119.1833464,119.1833464,119.1903513,119.4736156,1.5,1,0.80294775,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
87,0.5,1.5,120.0020905,120.4839209,120.4839209,120.5006891,120.7733758,-1.5,1,0.546328959,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
88,0.5,1,121.0458565,121.5338396,121.5338396,121.5402285,121.8243641,-1,1,0.689788667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
89,0.5,1,122.2357922,122.7171967,122.7171967,122.7344037,123.0075066,1,1,0.767283375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
90,0.5,1,123.4957289,123.9834675,123.9834675,123.9898927,124.2737156,-1,1,0.418462833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
91,0.5,1,124.4186342,124.9005687,124.9005687,124.9175927,125.1904942,-1,1,0.551202875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
92,0.5,1,125.4695038,125.9580373,125.9580373,125.9672991,126.2512735,1,1,0.650912375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
93,0.5,1,126.6286397,127.1173715,127.1173715,127.1243489,127.4076476,-1,1,0.459757875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
94,0.5,1,127.5965683,128.0840447,128.0840447,128.0903999,128.3744217,-1,1,0.425856542,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
95,0.5,1,128.5297487,129.0177895,129.0177895,129.0248778,129.3074815,-1,1,0.816789166,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
96,0.5,1,129.8480082,130.33409,130.33409,130.3411943,130.6243111,-1,1,0.531569417,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
97,0.5,1,130.8804583,131.3675044,131.3675044,131.3742337,131.6582032,-1,1,0.624732375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
