staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,orientation,Absolute Orientation Values,,,mean average threshold,
98,0.5,1,132.0044474,132.49218,132.49218,132.5007983,132.7848535,-1,1,0.493227916,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
99,0.5,1,133.0024498,133.4842763,133.4842763,133.5011337,133.7741305,1,1,0.684494167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
100,0.5,1,134.1869011,134.6761273,134.6761273,134.6842806,134.9742129,-1,1,0.586518584,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
101,0.5,1,135.27925,135.7677195,135.7677195,135.774093,136.0575585,1,1,0.810793625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
102,0.5,1,136.5973245,137.0843035,137.0843035,137.0907061,137.3745311,-1,1,0.500588708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
103,0.5,1,137.5968026,138.0837967,138.0837967,138.0902268,138.3743196,-1,1,0.641525708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
104,0.5,1,138.7455335,139.2343448,139.2343448,139.2408164,139.5248882,-1,1,0.592581542,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
105,0.5,1,139.8460015,140.3344229,140.3344229,140.3408483,140.6249841,-1,1,0.584052167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
106,0.5,1,140.9304646,141.4177763,141.4177763,141.424801,141.708164,-1,1,0.535080792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
107,0.5,1,141.9706111,142.4598565,142.4598565,142.4678774,142.7571345,-1,1,0.73738325,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
108,0.5,1,143.212679,143.7012291,143.7012291,143.7075188,143.9906115,1,1,0.534441417,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
109,0.5,1,144.2681808,144.7424566,144.7424566,144.7576058,145.0417042,-1,1,0.564839834,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
110,0.5,1,145.3347937,145.808904,145.808904,145.8244926,146.1018384,-1,0,1.147178125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
111,0.5,1.5,146.9708223,147.4596355,147.4596355,147.46792,147.7519047,-1.5,1,0.549749375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
112,0.5,1.5,148.0220534,148.5097874,148.5097874,148.5180741,148.8018689,1.5,1,0.716782916,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
113,0.5,1.5,149.2471844,149.734666,149.734666,149.7409553,150.024668,1.5,1,0.640859416,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
114,0.5,1,150.3884088,150.8758581,150.8758581,150.8847564,151.1746676,-1,1,0.509714791,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
115,0.5,1,151.3974825,151.8847885,151.8847885,151.8911052,152.175014,-1,1,0.459870584,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
116,0.5,1,152.3637109,152.8514597,152.8514597,152.8585968,153.1413763,-1,1,0.43121225,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
117,0.5,1,153.2975268,153.784917,153.784917,153.7918355,154.0754479,1,1,0.700961125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
118,0.5,1,154.497785,154.984835,154.984835,154.9919478,155.2752558,1,1,0.567144875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
119,0.5,1,155.5644402,156.051588,156.051588,156.058762,156.3422155,-1,1,0.443138333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
120,0.5,1,156.5136932,157.001643,157.001643,157.0079967,157.2919519,1,1,0.77351025,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
121,0.5,1,157.7869815,158.2766892,158.2766892,158.2843947,158.5749565,-1,1,0.481422833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
122,0.5,1,158.7851255,159.2594938,159.2594938,159.274472,159.5583416,-1,1,0.601074042,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
123,0.5,1,159.8807028,160.3683719,160.3683719,160.3747547,160.6581867,-1,1,0.784665333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
124,0.5,1,161.1709402,161.6591566,161.6591566,161.6684225,161.9522469,-1,1,0.734946958,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
125,0.5,1,162.4146864,162.9017116,162.9017116,162.9079178,163.1920744,-1,1,0.557977708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
126,0.5,1,163.4713431,163.9595907,163.9595907,163.9684362,164.252431,-1,1,0.563093125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
127,0.5,1,164.5519158,165.0266573,165.0266573,165.0418084,165.3192185,-1,1,0.514053625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
128,0.5,1,165.5537871,166.0442268,166.0442268,166.0519548,166.3418706,1,1,0.598182959,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
129,0.5,1,166.6686582,167.1353086,167.1353086,167.1585113,167.4258749,1,1,0.800667708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
130,0.5,1,167.947492,168.4352724,168.4352724,168.4418075,168.7251082,1,1,0.597967666,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
131,0.5,1,169.046232,169.5352926,169.5352926,169.5416982,169.8246657,1,1,0.690687584,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
132,0.5,1,170.2522568,170.7263086,170.7263086,170.7410406,171.01932,1,1,0.519256166,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
133,0.5,1,171.2645649,171.7520166,171.7520166,171.7590682,172.0423039,-1,1,0.627484791,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
134,0.5,1,172.3974137,172.8852995,172.8852995,172.8916402,173.1757181,-1,1,0.681702834,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
135,0.5,1,173.580076,174.0687406,174.0687406,174.0751392,174.3586654,-1,1,0.552572167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
136,0.5,1,174.637632,175.1188429,175.1188429,175.135435,175.4088573,1,1,0.76704475,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
137,0.5,1,175.8983358,176.3854798,176.3854798,176.3925778,176.675903,1,1,0.637817375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
138,0.5,1,177.0376453,177.5275415,177.5275415,177.5355348,177.8259503,1,1,0.649306833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
139,0.5,1,178.1981026,178.6855582,178.6855582,178.691922,178.9767157,1,1,0.697886125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
140,0.5,1,179.397667,179.8857424,179.8857424,179.8922128,180.1755555,1,1,0.787145458,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
141,0.5,1,180.6868324,181.1689836,181.1689836,181.185968,181.4594109,-1,1,0.755554291,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
142,0.5,1,181.952449,182.4277513,182.4277513,182.4428075,182.7257504,-1,1,0.665777917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
143,0.5,1,183.1135926,183.6024069,183.6024069,183.608639,183.892236,1,1,0.651588792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
144,0.5,1,184.270562,184.7524588,184.7524588,184.7693037,185.0423033,1,1,0.739991084,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
145,0.5,1,185.5049027,185.9939434,185.9939434,186.0024175,186.2917546,1,1,0.713541,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
146,0.5,1,186.7203393,187.2025625,187.2025625,187.2192178,187.4930708,-1,0,0.975669834,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
147,0.5,1.5,188.1981447,188.6858546,188.6858546,188.6922055,188.97647,-1.5,1,0.61370575,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
148,0.5,1.5,189.3155632,189.8025727,189.8025727,189.8089441,190.0929594,1.5,1,0.621065292,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
149,0.5,1.5,190.4382156,190.9276651,190.9276651,190.9359008,191.2255587,-1.5,0,2.53231525,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
150,0.5,2,193.4721815,193.9527106,193.9527106,193.9693382,194.2428287,-2,1,0.65077325,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-2,2,,,,
151,0.5,2,194.6155495,195.102731,195.102731,195.1091239,195.3929012,-2,1,0.541449917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-2,2,,,,
152,0.5,2,195.6652055,196.1527576,196.1527576,196.1595075,196.4434695,2,1,0.518072916,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,2,2,,,,
153,0.5,1.5,196.688044,197.1778625,197.1778625,197.1860811,197.475957,1.5,1,0.460874958,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
154,0.5,1.5,197.6541961,198.1356217,198.1356217,198.1530445,198.4260009,-1.5,1,0.47092875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
155,0.5,1.5,198.6211231,199.1028992,199.1028992,199.1194909,199.3933466,1.5,1,0.459885125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
156,0.5,1,199.5814252,200.0695127,200.0695127,200.0759218,200.3597613,1,1,0.871966792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
157,0.5,1,200.9697177,201.4449495,201.4449495,201.4593623,201.7426641,1,1,0.886878833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
158,0.5,1,202.3487299,202.8357147,202.8357147,202.8437017,203.1261618,-1,1,0.561994917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
159,0.5,1,203.414526,203.9032885,203.9032885,203.9097642,204.1928324,-1,1,0.610943833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
160,0.5,1,204.532268,205.0196803,205.0196803,205.0267256,205.3094117,1,0,0.544839458,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
161,0.5,1.5,205.5818518,206.0693289,206.0693289,206.0756783,206.3594816,-1.5,1,0.647935334,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
162,0.5,1.5,206.7321755,207.2197456,207.2197456,207.2261285,207.5099034,-1.5,1,1.050783625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
163,0.5,1.5,208.2823394,208.7698094,208.7698094,208.7761485,209.060019,1.5,1,0.664453916,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
164,0.5,1,209.4485777,209.9365078,209.9365078,209.9435935,210.2266726,-1,1,0.726589292,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
165,0.5,1,210.6821253,211.1698571,211.1698571,211.1761838,211.4606849,1,1,0.702506166,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
166,0.5,1,211.90331,212.378081,212.378081,212.3933534,212.6705477,1,1,0.69867925,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
167,0.5,1,213.0894522,213.5784835,213.5784835,213.586552,213.8767826,1,1,3.564290542,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
168,0.5,1,217.1546812,217.6366875,217.6366875,217.6536292,217.9271246,1,1,0.730242208,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
169,0.5,1,218.382814,218.8700057,218.8700057,218.8764043,219.1601168,1,1,0.584518083,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
170,0.5,1,219.4736065,219.9615505,219.9615505,219.9700528,220.2541078,-1,1,0.643668208,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
171,0.5,1,220.6369682,221.1120368,221.1120368,221.1272667,221.410554,-1,1,1.57582625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
172,0.5,1,222.7063467,223.1949176,223.1949176,223.2035076,223.4874586,1,1,0.649518625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
173,0.5,1,223.8647184,224.345697,224.345697,224.360757,224.6432561,1,1,0.650020667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
174,0.5,1,225.0152832,225.5036545,225.5036545,225.5099998,225.7941355,-1,1,0.667341084,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
175,0.5,1,226.1829341,226.6703093,226.6703093,226.6767153,226.9597163,-1,1,0.796269833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
176,0.5,1,227.4817967,227.9704089,227.9704089,227.9774909,228.2615546,1,1,0.709629125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
177,0.5,1,228.6992587,229.1869313,229.1869313,229.193402,229.4773828,-1,1,0.446694041,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
178,0.5,1,229.649196,230.137102,230.137102,230.1433517,230.4272905,1,1,0.783823625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
179,0.5,1,230.9336586,231.4204162,231.4204162,231.4273618,231.7111786,-1,1,0.726722291,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
180,0.5,1,232.1657113,232.6538562,232.6538562,232.6602429,232.9438572,-1,1,0.743395125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
181,0.5,1,233.4158286,233.9037693,233.9037693,233.9105639,234.1939392,1,1,0.772170875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
182,0.5,1,234.6893518,235.1793575,235.1793575,235.1872876,235.4772629,-1,1,0.635908708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
183,0.5,1,235.8331355,236.3206022,236.3206022,236.3271138,236.6109245,1,1,0.947535708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
184,0.5,1,237.2827528,237.7706753,237.7706753,237.7778566,238.0608953,1,1,0.828686292,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
185,0.5,1,238.6162974,239.1039745,239.1039745,239.1103615,239.3940261,1,1,1.273730417,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
186,0.5,1,240.3896675,240.8791321,240.8791321,240.8874617,241.1714167,1,1,0.704965375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
187,0.5,1,241.5991108,242.0874094,242.0874094,242.0938149,242.377279,1,1,0.768573958,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
188,0.5,1,242.87287,243.3619858,243.3619858,243.3702207,243.6602474,1,1,0.870223792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
189,0.5,1,244.2487178,244.7374944,244.7374944,244.7446233,245.02621,-1,1,0.700918458,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
190,0.5,1,245.4506898,245.9370608,245.9370608,245.943545,246.226774,-1,1,0.63981975,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
191,0.5,1,246.6044511,247.0788455,247.0788455,247.0935062,247.3782104,1,1,0.7818995,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
192,0.5,1,247.8730043,248.3627478,248.3627478,248.3710237,248.6602498,1,1,0.780251583,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
193,0.5,1,249.157159,249.6458397,249.6458397,249.6543735,249.9442917,-1,1,0.83368775,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
194,0.5,1,250.4983807,250.9795984,250.9795984,250.9945155,251.2779406,1,1,0.625700667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
195,0.5,1,251.6167224,252.1044442,252.1044442,252.1107197,252.3941497,-1,1,0.7541285,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
196,0.5,1,252.8880242,253.3619658,253.3619658,253.3776096,253.6549855,-1,1,0.850473708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
197,0.5,1,254.2325591,254.7211652,254.7211652,254.7282066,255.0112894,1,1,0.714913125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
198,0.5,1,255.449629,255.9377902,255.9377902,255.9441994,256.2276889,1,1,0.641673834,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
199,0.5,1,256.6005771,257.0879227,257.0879227,257.0955817,257.3784914,1,1,0.6861775,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,